Game,Month,Year,Avg,Peak
Counter-Strike: Global Offensive,February ,2021,741013.24,1123485
Counter-Strike: Global Offensive,January ,2021,743209.66,1124553
Counter-Strike: Global Offensive,December ,2020,717803.75,1164396
Counter-Strike: Global Offensive,November ,2020,668754.58,1037464
Counter-Strike: Global Offensive,October ,2020,613666.69,943876
Counter-Strike: Global Offensive,September ,2020,606850.32,977769
Counter-Strike: Global Offensive,August ,2020,639957.66,925348
Counter-Strike: Global Offensive,July ,2020,625900.81,857560
Counter-Strike: Global Offensive,June ,2020,671647.46,1009467
Counter-Strike: Global Offensive,May ,2020,768795.25,1193359
Counter-Strike: Global Offensive,April ,2020,857604.22,1305714
Counter-Strike: Global Offensive,March ,2020,671033.29,1145972
Counter-Strike: Global Offensive,February ,2020,543979.15,916996
Counter-Strike: Global Offensive,January ,2020,501196,817229
Counter-Strike: Global Offensive,December ,2019,456701.56,767060
Counter-Strike: Global Offensive,November ,2019,426080.81,758412
Counter-Strike: Global Offensive,October ,2019,408995.31,747937
Counter-Strike: Global Offensive,September ,2019,410925.6,720052
Counter-Strike: Global Offensive,August ,2019,415097.3,647461
Counter-Strike: Global Offensive,July ,2019,393782.83,578933
Counter-Strike: Global Offensive,June ,2019,389376.72,587724
Counter-Strike: Global Offensive,May ,2019,364417.31,588453
Counter-Strike: Global Offensive,April ,2019,351989.92,621614
Counter-Strike: Global Offensive,March ,2019,390240.16,680071
Counter-Strike: Global Offensive,February ,2019,371358.96,654069
Counter-Strike: Global Offensive,January ,2019,401366.87,684511
Counter-Strike: Global Offensive,December ,2018,395509.26,746548
Counter-Strike: Global Offensive,November ,2018,310085.43,546031
Counter-Strike: Global Offensive,October ,2018,325907.82,565968
Counter-Strike: Global Offensive,September ,2018,333163.99,583029
Counter-Strike: Global Offensive,August ,2018,283531.31,454370
Counter-Strike: Global Offensive,July ,2018,273307.26,426008
Counter-Strike: Global Offensive,June ,2018,266862.24,420261
Counter-Strike: Global Offensive,May ,2018,262170.88,454481
Counter-Strike: Global Offensive,April ,2018,289076.7,523262
Counter-Strike: Global Offensive,March ,2018,354270.33,672502
Counter-Strike: Global Offensive,February ,2018,382457.1,686588
Counter-Strike: Global Offensive,January ,2018,382030.53,715850
Counter-Strike: Global Offensive,December ,2017,340876.88,598405
Counter-Strike: Global Offensive,November ,2017,321131.4,601881
Counter-Strike: Global Offensive,October ,2017,341861.26,639968
Counter-Strike: Global Offensive,September ,2017,354402.09,665371
Counter-Strike: Global Offensive,August ,2017,374425.69,595781
Counter-Strike: Global Offensive,July ,2017,377589.04,624785
Counter-Strike: Global Offensive,June ,2017,374388.04,614621
Counter-Strike: Global Offensive,May ,2017,371829.34,692966
Counter-Strike: Global Offensive,April ,2017,392199.19,709841
Counter-Strike: Global Offensive,March ,2017,386908.72,742356
Counter-Strike: Global Offensive,February ,2017,402385.71,744468
Counter-Strike: Global Offensive,January ,2017,393109.53,814616
Counter-Strike: Global Offensive,December ,2016,342195.7,662460
Counter-Strike: Global Offensive,November ,2016,329045.26,627124
Counter-Strike: Global Offensive,October ,2016,333076.46,661985
Counter-Strike: Global Offensive,September ,2016,322525.89,638360
Counter-Strike: Global Offensive,August ,2016,347229.25,599095
Counter-Strike: Global Offensive,July ,2016,353777.56,636056
Counter-Strike: Global Offensive,June ,2016,334311.06,579110
Counter-Strike: Global Offensive,May ,2016,338738.39,668612
Counter-Strike: Global Offensive,April ,2016,375795.87,850485
Counter-Strike: Global Offensive,March ,2016,379426.95,737599
Counter-Strike: Global Offensive,February ,2016,376285.02,738969
Counter-Strike: Global Offensive,January ,2016,365371.09,667432
Counter-Strike: Global Offensive,December ,2015,377447.11,823694
Counter-Strike: Global Offensive,November ,2015,360925.88,786707
Counter-Strike: Global Offensive,October ,2015,362766.09,732093
Counter-Strike: Global Offensive,September ,2015,355905.33,725939
Counter-Strike: Global Offensive,August ,2015,357535.24,819902
Counter-Strike: Global Offensive,July ,2015,329532.38,541181
Counter-Strike: Global Offensive,June ,2015,344156.01,610401
Counter-Strike: Global Offensive,May ,2015,317286.29,677701
Counter-Strike: Global Offensive,April ,2015,291748.74,568556
Counter-Strike: Global Offensive,March ,2015,267996.31,595439
Counter-Strike: Global Offensive,February ,2015,239934.64,455508
Counter-Strike: Global Offensive,January ,2015,234070.68,443188
Counter-Strike: Global Offensive,December ,2014,183589.5,367634
Counter-Strike: Global Offensive,November ,2014,147329.07,348018
Counter-Strike: Global Offensive,October ,2014,133537.7,260613
Counter-Strike: Global Offensive,September ,2014,131034.68,242494
Counter-Strike: Global Offensive,August ,2014,133185.79,277192
Counter-Strike: Global Offensive,July ,2014,106138,193613
Counter-Strike: Global Offensive,June ,2014,84163.62,164134
Counter-Strike: Global Offensive,May ,2014,84925.02,170137
Counter-Strike: Global Offensive,April ,2014,78880.53,142526
Counter-Strike: Global Offensive,March ,2014,70143.33,164495
Counter-Strike: Global Offensive,February ,2014,59791.37,119764
Counter-Strike: Global Offensive,January ,2014,55627.35,102084
Counter-Strike: Global Offensive,December ,2013,46788.27,96298
Counter-Strike: Global Offensive,November ,2013,29890.52,92279
Counter-Strike: Global Offensive,October ,2013,27902.14,53263
Counter-Strike: Global Offensive,September ,2013,27678.91,52052
Counter-Strike: Global Offensive,August ,2013,25961.85,50511
Counter-Strike: Global Offensive,July ,2013,20492.52,42149
Counter-Strike: Global Offensive,June ,2013,18119.84,33700
Counter-Strike: Global Offensive,May ,2013,18710.34,53379
Counter-Strike: Global Offensive,April ,2013,16006,31966
Counter-Strike: Global Offensive,March ,2013,15959.89,32166
Counter-Strike: Global Offensive,February ,2013,17372.73,35238
Counter-Strike: Global Offensive,January ,2013,16164.22,31359
Counter-Strike: Global Offensive,December ,2012,14079.39,27553
Counter-Strike: Global Offensive,November ,2012,14134.1,50533
Counter-Strike: Global Offensive,October ,2012,10739.48,20850
Counter-Strike: Global Offensive,September ,2012,16000.75,36057
Counter-Strike: Global Offensive,August ,2012,15475.39,52261
Counter-Strike: Global Offensive,July ,2012,932.57,1642
Dota 2,February ,2021,404832.13,651615
Dota 2,January ,2021,432671.65,694613
Dota 2,December ,2020,422552.32,697833
Dota 2,November ,2020,425904.83,711824
Dota 2,October ,2020,406361.36,723280
Dota 2,September ,2020,408609.78,670547
Dota 2,August ,2020,429717.12,666138
Dota 2,July ,2020,450213.99,712610
Dota 2,June ,2020,457184.42,733294
Dota 2,May ,2020,484189.02,793135
Dota 2,April ,2020,493300.27,801121
Dota 2,March ,2020,437147.36,743933
Dota 2,February ,2020,405978.65,663812
Dota 2,January ,2020,378925.43,616415
Dota 2,December ,2019,384179.76,685165
Dota 2,November ,2019,401931.8,708517
Dota 2,October ,2019,388355.86,739924
Dota 2,September ,2019,421971.24,753996
Dota 2,August ,2019,467148.29,826690
Dota 2,July ,2019,464787.61,779160
Dota 2,June ,2019,507528.44,865374
Dota 2,May ,2019,548523.18,997341
Dota 2,April ,2019,520218.98,971545
Dota 2,March ,2019,586505.85,1033925
Dota 2,February ,2019,564909.67,964921
Dota 2,January ,2019,475747,874888
Dota 2,December ,2018,439367.83,765422
Dota 2,November ,2018,461073.48,826053
Dota 2,October ,2018,431173.91,739643
Dota 2,September ,2018,466470.74,826166
Dota 2,August ,2018,476101.08,829281
Dota 2,July ,2018,441714.35,701582
Dota 2,June ,2018,473900,796886
Dota 2,May ,2018,474325.87,844713
Dota 2,April ,2018,430340.94,733214
Dota 2,March ,2018,437262.35,773897
Dota 2,February ,2018,438847.72,779299
Dota 2,January ,2018,486861.91,778627
Dota 2,December ,2017,513074.33,864939
Dota 2,November ,2017,487381.24,861173
Dota 2,October ,2017,466126.79,832550
Dota 2,September ,2017,491450.16,829555
Dota 2,August ,2017,556496.3,876395
Dota 2,July ,2017,498444.38,824297
Dota 2,June ,2017,555289.07,923122
Dota 2,May ,2017,567526.42,972876
Dota 2,April ,2017,540278.03,921318
Dota 2,March ,2017,548435.44,956232
Dota 2,February ,2017,591567.25,1040877
Dota 2,January ,2017,580281.47,1007451
Dota 2,December ,2016,593920.6,1014671
Dota 2,November ,2016,584251.33,1007270
Dota 2,October ,2016,639355.14,1141191
Dota 2,September ,2016,622583.9,1064377
Dota 2,August ,2016,666013.05,1117519
Dota 2,July ,2016,638212.65,1084198
Dota 2,June ,2016,640226.98,1095994
Dota 2,May ,2016,623798.67,1075307
Dota 2,April ,2016,656944.37,1164041
Dota 2,March ,2016,672554.89,1291328
Dota 2,February ,2016,709178.26,1248394
Dota 2,January ,2016,612174.78,1067949
Dota 2,December ,2015,573344.25,999452
Dota 2,November ,2015,539536.33,943635
Dota 2,October ,2015,521941.72,917306
Dota 2,September ,2015,508156.85,888728
Dota 2,August ,2015,606943.98,933942
Dota 2,July ,2015,554991.01,877264
Dota 2,June ,2015,568448.32,913997
Dota 2,May ,2015,580348.42,967674
Dota 2,April ,2015,526061.73,929677
Dota 2,March ,2015,571713.15,1213940
Dota 2,February ,2015,628970.41,1262612
Dota 2,January ,2015,558504.33,961737
Dota 2,December ,2014,523940.32,936583
Dota 2,November ,2014,528789.8,963810
Dota 2,October ,2014,495693.04,880655
Dota 2,September ,2014,477998.45,864261
Dota 2,August ,2014,490883.89,774319
Dota 2,July ,2014,537018.66,874975
Dota 2,June ,2014,513783.06,833145
Dota 2,May ,2014,482387.24,843024
Dota 2,April ,2014,421710.21,734998
Dota 2,March ,2014,409755.56,698197
Dota 2,February ,2014,421114.2,738682
Dota 2,January ,2014,393860.32,673496
Dota 2,December ,2013,366606.49,685503
Dota 2,November ,2013,348246.37,702792
Dota 2,October ,2013,329677.64,581615
Dota 2,September ,2013,312424.76,566715
Dota 2,August ,2013,330720.07,520532
Dota 2,July ,2013,237800.08,422617
Dota 2,June ,2013,210224.82,326160
Dota 2,May ,2013,194363.84,325815
Dota 2,April ,2013,174835.73,299667
Dota 2,March ,2013,180878.9,325598
Dota 2,February ,2013,166972.97,283870
Dota 2,January ,2013,147748.14,260989
Dota 2,December ,2012,121924.42,213521
Dota 2,November ,2012,101077.43,169631
Dota 2,October ,2012,75965.44,171860
Dota 2,September ,2012,61867.68,118724
Dota 2,August ,2012,55768.61,108689
Dota 2,July ,2012,52721.05,75041
PLAYERUNKNOWN'S BATTLEGROUNDS,February ,2021,198957.52,447390
PLAYERUNKNOWN'S BATTLEGROUNDS,January ,2021,201247.19,451998
PLAYERUNKNOWN'S BATTLEGROUNDS,December ,2020,189233.58,444680
PLAYERUNKNOWN'S BATTLEGROUNDS,November ,2020,179520.26,438919
PLAYERUNKNOWN'S BATTLEGROUNDS,October ,2020,162585.64,381079
PLAYERUNKNOWN'S BATTLEGROUNDS,September ,2020,169093.71,403693
PLAYERUNKNOWN'S BATTLEGROUNDS,August ,2020,192492.61,443390
PLAYERUNKNOWN'S BATTLEGROUNDS,July ,2020,211700.3,469568
PLAYERUNKNOWN'S BATTLEGROUNDS,June ,2020,230329.74,546359
PLAYERUNKNOWN'S BATTLEGROUNDS,May ,2020,243258.78,553121
PLAYERUNKNOWN'S BATTLEGROUNDS,April ,2020,242847.28,913075
PLAYERUNKNOWN'S BATTLEGROUNDS,March ,2020,228467.17,562028
PLAYERUNKNOWN'S BATTLEGROUNDS,February ,2020,257584.32,606689
PLAYERUNKNOWN'S BATTLEGROUNDS,January ,2020,275363.04,645414
PLAYERUNKNOWN'S BATTLEGROUNDS,December ,2019,308445.45,686239
PLAYERUNKNOWN'S BATTLEGROUNDS,November ,2019,305659.39,695920
PLAYERUNKNOWN'S BATTLEGROUNDS,October ,2019,287133.41,637870
PLAYERUNKNOWN'S BATTLEGROUNDS,September ,2019,311444.31,660864
PLAYERUNKNOWN'S BATTLEGROUNDS,August ,2019,358530.96,750941
PLAYERUNKNOWN'S BATTLEGROUNDS,July ,2019,352888.88,745224
PLAYERUNKNOWN'S BATTLEGROUNDS,June ,2019,363083.37,745960
PLAYERUNKNOWN'S BATTLEGROUNDS,May ,2019,385840.59,817595
PLAYERUNKNOWN'S BATTLEGROUNDS,April ,2019,390100.9,886255
PLAYERUNKNOWN'S BATTLEGROUNDS,March ,2019,417812.51,931407
PLAYERUNKNOWN'S BATTLEGROUNDS,February ,2019,437959.1,931754
PLAYERUNKNOWN'S BATTLEGROUNDS,January ,2019,497803.25,1084606
PLAYERUNKNOWN'S BATTLEGROUNDS,December ,2018,473541.26,1109766
PLAYERUNKNOWN'S BATTLEGROUNDS,November ,2018,418159.48,895650
PLAYERUNKNOWN'S BATTLEGROUNDS,October ,2018,469141.74,1048662
PLAYERUNKNOWN'S BATTLEGROUNDS,September ,2018,542607.05,1125229
PLAYERUNKNOWN'S BATTLEGROUNDS,August ,2018,619320.48,1260894
PLAYERUNKNOWN'S BATTLEGROUNDS,July ,2018,688620.42,1350463
PLAYERUNKNOWN'S BATTLEGROUNDS,June ,2018,800668.23,1750216
PLAYERUNKNOWN'S BATTLEGROUNDS,May ,2018,876180.64,2175704
PLAYERUNKNOWN'S BATTLEGROUNDS,April ,2018,1107181.8,2456361
PLAYERUNKNOWN'S BATTLEGROUNDS,March ,2018,1295408.59,2799269
PLAYERUNKNOWN'S BATTLEGROUNDS,February ,2018,1391015.3,2934761
PLAYERUNKNOWN'S BATTLEGROUNDS,January ,2018,1584886.77,3236027
PLAYERUNKNOWN'S BATTLEGROUNDS,December ,2017,1436158.51,3080769
PLAYERUNKNOWN'S BATTLEGROUNDS,November ,2017,1334170.09,2915723
PLAYERUNKNOWN'S BATTLEGROUNDS,October ,2017,1086638.87,2390946
PLAYERUNKNOWN'S BATTLEGROUNDS,September ,2017,660192.74,1550463
PLAYERUNKNOWN'S BATTLEGROUNDS,August ,2017,389527.42,874171
PLAYERUNKNOWN'S BATTLEGROUNDS,July ,2017,229701.7,481291
PLAYERUNKNOWN'S BATTLEGROUNDS,June ,2017,139902.24,267194
PLAYERUNKNOWN'S BATTLEGROUNDS,May ,2017,107441.6,189456
PLAYERUNKNOWN'S BATTLEGROUNDS,April ,2017,69794.98,140104
PLAYERUNKNOWN'S BATTLEGROUNDS,March ,2017,17551.14,67846
Apex Legends,February ,2021,120982.64,196799
Apex Legends,January ,2021,71766.74,129928
Apex Legends,December ,2020,64469.75,112076
Apex Legends,November ,2020,74957.26,117193
Rust,February ,2021,117742.27,224276
Rust,January ,2021,142117.25,244394
Rust,December ,2020,61171.65,97445
Rust,November ,2020,55408.03,101365
Rust,October ,2020,48550.8,80422
Rust,September ,2020,46430.53,76611
Rust,August ,2020,53287.65,89147
Rust,July ,2020,58238.72,97741
Rust,June ,2020,50417.72,93513
Rust,May ,2020,57344.65,102051
Rust,April ,2020,67504.05,125415
Rust,March ,2020,58442.03,102296
Rust,February ,2020,50075.2,92016
Rust,January ,2020,51620.39,97340
Rust,December ,2019,49094.84,81928
Rust,November ,2019,43507.96,74292
Rust,October ,2019,46704.38,82827
Rust,September ,2019,49636.12,80293
Rust,August ,2019,58531.24,88929
Rust,July ,2019,62259.96,93595
Rust,June ,2019,45132.57,81658
Rust,May ,2019,35780.66,67338
Rust,April ,2019,38200.78,72544
Rust,March ,2019,40725.29,77896
Rust,February ,2019,42431.42,77622
Rust,January ,2019,46201.3,85208
Rust,December ,2018,42622.28,70775
Rust,November ,2018,37706.36,70969
Rust,October ,2018,31820.22,58564
Rust,September ,2018,27319.2,48430
Rust,August ,2018,31488.28,53885
Rust,July ,2018,36659.19,65952
Rust,June ,2018,30308.9,54779
Rust,May ,2018,23893.78,46328
Rust,April ,2018,26047.04,51233
Rust,March ,2018,29074.81,57873
Rust,February ,2018,33507.28,68204
Rust,January ,2018,34668.81,67410
Rust,December ,2017,32974,60373
Rust,November ,2017,28147.23,57223
Rust,October ,2017,25760.5,49984
Rust,September ,2017,21595.41,40577
Rust,August ,2017,25558.02,43117
Rust,July ,2017,29563.1,53425
Rust,June ,2017,29285.43,48228
Rust,May ,2017,25380.27,46948
Rust,April ,2017,28588.81,53621
Rust,March ,2017,32438.98,66194
Rust,February ,2017,36403.55,68103
Rust,January ,2017,33999.91,63843
Rust,December ,2016,28974.92,49147
Rust,November ,2016,22879.2,47571
Rust,October ,2016,24406.17,48435
Rust,September ,2016,26269.79,50680
Rust,August ,2016,30432.53,50364
Rust,July ,2016,30949.75,64555
Rust,June ,2016,25360.97,45791
Rust,May ,2016,25497.88,47100
Rust,April ,2016,25605.94,49920
Rust,March ,2016,27267.6,55147
Rust,February ,2016,32394.57,61260
Rust,January ,2016,27647.06,50628
Rust,December ,2015,18474.06,38110
Rust,November ,2015,13061.63,26697
Rust,October ,2015,13106.11,24201
Rust,September ,2015,12410.86,24075
Rust,August ,2015,14870.06,25352
Rust,July ,2015,13817.71,22622
Rust,June ,2015,13735.65,27177
Rust,May ,2015,13819.82,25625
Rust,April ,2015,8136.74,16636
Rust,March ,2015,8270.49,16341
Rust,February ,2015,9372.69,20267
Rust,January ,2015,10591.06,22303
Rust,December ,2014,6151.4,11826
Rust,November ,2014,5384.12,12062
Rust,October ,2014,6372.55,12294
Rust,September ,2014,6346.7,11040
Rust,August ,2014,8740.55,12764
Rust,July ,2014,10132.47,15027
Rust,June ,2014,11938.23,18081
Rust,May ,2014,13150.96,24306
Rust,April ,2014,17658.98,31321
Rust,March ,2014,24874.13,48870
Rust,February ,2014,34753.45,58973
Rust,January ,2014,24874.82,51872
Rust,December ,2013,9205.77,22571
Team Fortress 2,February ,2021,101230.91,133620
Team Fortress 2,January ,2021,83148.17,111102
Team Fortress 2,December ,2020,82423.51,146887
Team Fortress 2,November ,2020,70304.79,101610
Team Fortress 2,October ,2020,73594.08,130548
Team Fortress 2,September ,2020,68866.24,86576
Team Fortress 2,August ,2020,66943.58,96577
Team Fortress 2,July ,2020,69301.89,89648
Team Fortress 2,June ,2020,65169.91,79946
Team Fortress 2,May ,2020,66393.8,85744
Team Fortress 2,April ,2020,67187.12,88124
Team Fortress 2,March ,2020,67978.93,85149
Team Fortress 2,February ,2020,60109.05,78393
Team Fortress 2,January ,2020,59597.88,76738
Team Fortress 2,December ,2019,61695.9,103481
Team Fortress 2,November ,2019,50315.89,69869
Team Fortress 2,October ,2019,51993.93,73467
Team Fortress 2,September ,2019,48332.88,64640
Team Fortress 2,August ,2019,45544.88,64518
Team Fortress 2,July ,2019,49538.99,93245
Team Fortress 2,June ,2019,43002.54,57130
Team Fortress 2,May ,2019,39076.92,54127
Team Fortress 2,April ,2019,42505.05,60330
Team Fortress 2,March ,2019,45940.01,63379
Team Fortress 2,February ,2019,47707.59,65290
Team Fortress 2,January ,2019,50511.29,66649
Team Fortress 2,December ,2018,50592.4,116141
Team Fortress 2,November ,2018,53084.17,93560
Team Fortress 2,October ,2018,48766.22,97329
Team Fortress 2,September ,2018,41002.12,58152
Team Fortress 2,August ,2018,43632.35,57772
Team Fortress 2,July ,2018,46149.36,59658
Team Fortress 2,June ,2018,44207.43,57752
Team Fortress 2,May ,2018,38847.02,56049
Team Fortress 2,April ,2018,39180.46,58292
Team Fortress 2,March ,2018,36781.88,57366
Team Fortress 2,February ,2018,37715.11,69198
Team Fortress 2,January ,2018,53432.1,72845
Team Fortress 2,December ,2017,51816.11,71122
Team Fortress 2,November ,2017,52270.09,84022
Team Fortress 2,October ,2017,54963.29,97248
Team Fortress 2,September ,2017,50985.18,73411
Team Fortress 2,August ,2017,52992.48,69172
Team Fortress 2,July ,2017,51861.41,66951
Team Fortress 2,June ,2017,52408.06,69895
Team Fortress 2,May ,2017,50126.01,73188
Team Fortress 2,April ,2017,51733.52,72616
Team Fortress 2,March ,2017,49483.19,74656
Team Fortress 2,February ,2017,51787.36,77381
Team Fortress 2,January ,2017,52436.19,77405
Team Fortress 2,December ,2016,50140.76,71438
Team Fortress 2,November ,2016,46904.24,77056
Team Fortress 2,October ,2016,45910.06,81153
Team Fortress 2,September ,2016,48541.21,74797
Team Fortress 2,August ,2016,53742.49,72111
Team Fortress 2,July ,2016,54459.35,72643
Team Fortress 2,June ,2016,51362.73,72453
Team Fortress 2,May ,2016,49804.41,77972
Team Fortress 2,April ,2016,51434.75,81206
Team Fortress 2,March ,2016,52754.37,83425
Team Fortress 2,February ,2016,52864.72,83544
Team Fortress 2,January ,2016,52763.52,80583
Team Fortress 2,December ,2015,52972.94,82824
Team Fortress 2,November ,2015,52145.23,91588
Team Fortress 2,October ,2015,55256.59,91684
Team Fortress 2,September ,2015,55776.77,90718
Team Fortress 2,August ,2015,60484.79,85201
Team Fortress 2,July ,2015,60778.74,83241
Team Fortress 2,June ,2015,56344.56,78971
Team Fortress 2,May ,2015,55586.91,84603
Team Fortress 2,April ,2015,54533.01,84438
Team Fortress 2,March ,2015,54117.72,89571
Team Fortress 2,February ,2015,56469.57,90599
Team Fortress 2,January ,2015,58550.38,94272
Team Fortress 2,December ,2014,58391.58,97449
Team Fortress 2,November ,2014,56732.74,104323
Team Fortress 2,October ,2014,57976.98,101741
Team Fortress 2,September ,2014,55091.58,93749
Team Fortress 2,August ,2014,59228.78,83414
Team Fortress 2,July ,2014,56704.31,76060
Team Fortress 2,June ,2014,53342.72,90242
Team Fortress 2,May ,2014,47900.26,80053
Team Fortress 2,April ,2014,49671.2,80730
Team Fortress 2,March ,2014,49145.6,82998
Team Fortress 2,February ,2014,49817.43,83502
Team Fortress 2,January ,2014,50662.31,83323
Team Fortress 2,December ,2013,47901.53,86393
Team Fortress 2,November ,2013,44536.35,79961
Team Fortress 2,October ,2013,42808.16,74370
Team Fortress 2,September ,2013,43714.36,77493
Team Fortress 2,August ,2013,50324.72,74504
Team Fortress 2,July ,2013,48700.77,72803
Team Fortress 2,June ,2013,50739.88,77349
Team Fortress 2,May ,2013,44632.91,75126
Team Fortress 2,April ,2013,41942.51,71706
Team Fortress 2,March ,2013,43336.2,72799
Team Fortress 2,February ,2013,43210.75,72893
Team Fortress 2,January ,2013,44255.06,74300
Team Fortress 2,December ,2012,43623.98,73695
Team Fortress 2,November ,2012,42498.53,80988
Team Fortress 2,October ,2012,46978.7,106853
Team Fortress 2,September ,2012,50699.07,90232
Team Fortress 2,August ,2012,61561.37,117917
Team Fortress 2,July ,2012,45566.9,62321
Grand Theft Auto V,February ,2021,90647.64,146438
Grand Theft Auto V,January ,2021,101250.59,184941
Grand Theft Auto V,December ,2020,106914.27,258539
Grand Theft Auto V,November ,2020,76718.34,157355
Grand Theft Auto V,October ,2020,67193.03,128578
Grand Theft Auto V,September ,2020,68047.03,126174
Grand Theft Auto V,August ,2020,88398.36,154677
Grand Theft Auto V,July ,2020,83654.72,134093
Grand Theft Auto V,June ,2020,99752.85,180302
Grand Theft Auto V,May ,2020,141369.88,260562
Grand Theft Auto V,April ,2020,126086.73,243284
Grand Theft Auto V,March ,2020,116386.37,209493
Grand Theft Auto V,February ,2020,142724.48,267360
Grand Theft Auto V,January ,2020,111300.2,214796
Grand Theft Auto V,December ,2019,97777.69,204137
Grand Theft Auto V,November ,2019,68842.93,138540
Grand Theft Auto V,October ,2019,58656.08,117002
Grand Theft Auto V,September ,2019,66131.62,135072
Grand Theft Auto V,August ,2019,97648,176207
Grand Theft Auto V,July ,2019,92617.62,197555
Grand Theft Auto V,June ,2019,56717.73,109164
Grand Theft Auto V,May ,2019,55410.52,108557
Grand Theft Auto V,April ,2019,48502.28,91586
Grand Theft Auto V,March ,2019,60229.66,126518
Grand Theft Auto V,February ,2019,58124.22,119439
Grand Theft Auto V,January ,2019,59851.2,118210
Grand Theft Auto V,December ,2018,55641.33,120693
Grand Theft Auto V,November ,2018,43009.38,81360
Grand Theft Auto V,October ,2018,43265.97,81337
Grand Theft Auto V,September ,2018,49147.67,97920
Grand Theft Auto V,August ,2018,68312.15,123556
Grand Theft Auto V,July ,2018,80395.34,162021
Grand Theft Auto V,June ,2018,48927.49,118332
Grand Theft Auto V,May ,2018,41278.73,82956
Grand Theft Auto V,April ,2018,42779.52,89792
Grand Theft Auto V,March ,2018,46028.18,94489
Grand Theft Auto V,February ,2018,53395.68,94308
Grand Theft Auto V,January ,2018,77566.84,167754
Grand Theft Auto V,December ,2017,78066.93,170316
Grand Theft Auto V,November ,2017,41915.16,85105
Grand Theft Auto V,October ,2017,39774.46,84553
Grand Theft Auto V,September ,2017,45842.92,101433
Grand Theft Auto V,August ,2017,54028.65,121830
Grand Theft Auto V,July ,2017,60840.07,112074
Grand Theft Auto V,June ,2017,60285.4,131936
Grand Theft Auto V,May ,2017,42879.64,83483
Grand Theft Auto V,April ,2017,49108.33,96503
Grand Theft Auto V,March ,2017,48616.89,98798
Grand Theft Auto V,February ,2017,53270.99,104902
Grand Theft Auto V,January ,2017,63178.67,116125
Grand Theft Auto V,December ,2016,61843.72,126681
Grand Theft Auto V,November ,2016,42991.3,86759
Grand Theft Auto V,October ,2016,42084.49,86192
Grand Theft Auto V,September ,2016,31643.93,61921
Grand Theft Auto V,August ,2016,38791.87,63873
Grand Theft Auto V,July ,2016,45166.12,71778
Grand Theft Auto V,June ,2016,40152.83,78330
Grand Theft Auto V,May ,2016,25230.19,48053
Grand Theft Auto V,April ,2016,31671.3,65878
Grand Theft Auto V,March ,2016,34000.43,64633
Grand Theft Auto V,February ,2016,40013.1,72735
Grand Theft Auto V,January ,2016,46993.33,93726
Grand Theft Auto V,December ,2015,43874.72,84558
Grand Theft Auto V,November ,2015,34465.84,77141
Grand Theft Auto V,October ,2015,30924.76,73902
Grand Theft Auto V,September ,2015,25387.81,46917
Grand Theft Auto V,August ,2015,30918.06,50693
Grand Theft Auto V,July ,2015,37657.07,60908
Grand Theft Auto V,June ,2015,46953.24,85195
Grand Theft Auto V,May ,2015,93361.62,215966
Grand Theft Auto V,April ,2015,192714.01,360761
Tom Clancy's Rainbow Six Siege,February ,2021,72382.76,113338
Tom Clancy's Rainbow Six Siege,January ,2021,77717.42,123637
Tom Clancy's Rainbow Six Siege,December ,2020,70721.5,123374
Tom Clancy's Rainbow Six Siege,November ,2020,55307.46,94968
Tom Clancy's Rainbow Six Siege,October ,2020,62956.21,114281
Tom Clancy's Rainbow Six Siege,September ,2020,75543.34,163478
Tom Clancy's Rainbow Six Siege,August ,2020,68205.26,127249
Tom Clancy's Rainbow Six Siege,July ,2020,76279.2,122438
Tom Clancy's Rainbow Six Siege,June ,2020,70200.51,126733
Tom Clancy's Rainbow Six Siege,May ,2020,80099.3,146359
Tom Clancy's Rainbow Six Siege,April ,2020,108514.57,194102
Tom Clancy's Rainbow Six Siege,March ,2020,119877.88,198567
Tom Clancy's Rainbow Six Siege,February ,2020,97667.34,178824
Tom Clancy's Rainbow Six Siege,January ,2020,94185.78,157948
Tom Clancy's Rainbow Six Siege,December ,2019,78228.73,138681
Tom Clancy's Rainbow Six Siege,November ,2019,66499.28,123848
Tom Clancy's Rainbow Six Siege,October ,2019,65632.48,125590
Tom Clancy's Rainbow Six Siege,September ,2019,77922.76,148365
Tom Clancy's Rainbow Six Siege,August ,2019,73956.28,138827
Tom Clancy's Rainbow Six Siege,July ,2019,77411.07,128458
Tom Clancy's Rainbow Six Siege,June ,2019,78059.34,140274
Tom Clancy's Rainbow Six Siege,May ,2019,59172.09,115381
Tom Clancy's Rainbow Six Siege,April ,2019,61351.45,124989
Tom Clancy's Rainbow Six Siege,March ,2019,69588.02,134776
Tom Clancy's Rainbow Six Siege,February ,2019,72997.66,136018
Tom Clancy's Rainbow Six Siege,January ,2019,79175.76,137434
Tom Clancy's Rainbow Six Siege,December ,2018,70865.32,129558
Tom Clancy's Rainbow Six Siege,November ,2018,57902.93,115820
Tom Clancy's Rainbow Six Siege,October ,2018,62428.64,123794
Tom Clancy's Rainbow Six Siege,September ,2018,73676.87,143866
Tom Clancy's Rainbow Six Siege,August ,2018,73816.38,134159
Tom Clancy's Rainbow Six Siege,July ,2018,68241,116054
Tom Clancy's Rainbow Six Siege,June ,2018,66376.81,141630
